Model,MDO3014
Firmware Version,1.22

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1e-07,
Horizontal Delay,1.816e-05,
Sample Interval,4e-10,
Record Length,100000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,250
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,50
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH2,CH3
-1.628800e-06,0,-2
-1.628400e-06,0,-2
-1.628000e-06,0,-2
-1.627600e-06,0,0
-1.627200e-06,0,0
-1.626800e-06,0,-2
-1.626400e-06,0,-2
-1.626000e-06,0,-2
-1.625600e-06,0,-2
-1.625200e-06,0,0
-1.624800e-06,0,-2
-1.624400e-06,0,-2
-1.624000e-06,0,0
-1.623600e-06,0,0
-1.623200e-06,0,-2
-1.622800e-06,0,-2
-1.622400e-06,0,-2
-1.622000e-06,0,0
-1.621600e-06,0,0
-1.621200e-06,0,-2
-1.620800e-06,0,0
-1.620400e-06,0,0
-1.620000e-06,0,0
-1.619600e-06,0,-2
-1.619200e-06,0,0
-1.618800e-06,0,-2
-1.618400e-06,0,-2
-1.618000e-06,0,-2
-1.617600e-06,0,0
-1.617200e-06,0,-2
-1.616800e-06,0,0
-1.616400e-06,0,-2
-1.616000e-06,0,0
-1.615600e-06,0,0
-1.615200e-06,0,-2
-1.614800e-06,0,0
-1.614400e-06,0,-2
-1.614000e-06,-0.2,0
-1.613600e-06,0,-2
-1.613200e-06,0,-2
-1.612800e-06,0,-2
-1.612400e-06,0,-2
-1.612000e-06,0,-2
-1.611600e-06,0,0
-1.611200e-06,0,0
-1.610800e-06,0,0
-1.610400e-06,0,0
-1.610000e-06,0,-2
-1.609600e-06,0,-2
-1.609200e-06,0,0
-1.608800e-06,0,-2
-1.608400e-06,0,-2
-1.608000e-06,0,0
-1.607600e-06,0,0
-1.607200e-06,0,0
-1.606800e-06,0,0
-1.606400e-06,0,-2
-1.606000e-06,0,0
-1.605600e-06,0,0
-1.605200e-06,0,-2
-1.604800e-06,-0.2,-2
-1.604400e-06,0,-2
-1.604000e-06,0,0
-1.603600e-06,0,-2
-1.603200e-06,0,-2
-1.602800e-06,0,-2
-1.602400e-06,0,-2
-1.602000e-06,0,-2
-1.601600e-06,0,0
-1.601200e-06,0,0
-1.600800e-06,0,0
-1.600400e-06,0,0
-1.600000e-06,0,-4
-1.599600e-06,0,-2
-1.599200e-06,0,-2
-1.598800e-06,0,0
-1.598400e-06,0,0
-1.598000e-06,0,0
-1.597600e-06,0,0
-1.597200e-06,0,0
-1.596800e-06,0,-2
-1.596400e-06,0,-2
-1.596000e-06,0,-2
-1.595600e-06,-0.2,0
-1.595200e-06,0,0
-1.594800e-06,0,0
-1.594400e-06,0,-2
-1.594000e-06,0,-2
-1.593600e-06,0,0
-1.593200e-06,0,-2
-1.592800e-06,0,-2
-1.592400e-06,0,0
-1.592000e-06,0,0
-1.591600e-06,0,0
-1.591200e-06,0,0
-1.590800e-06,0,-2
-1.590400e-06,0,0
-1.590000e-06,-0.2,-2
-1.589600e-06,-0.2,-2
-1.589200e-06,0,0
-1.588800e-06,-0.2,0
-1.588400e-06,0,-2
-1.588000e-06,0,-2
-1.587600e-06,0,0
-1.587200e-06,0,0
-1.586800e-06,0,-2
-1.586400e-06,0,-2
-1.586000e-06,0,0
-1.585600e-06,0,0
-1.585200e-06,0,0
-1.584800e-06,0,0
-1.584400e-06,0,0
-1.584000e-06,0,0
-1.583600e-06,0,0
-1.583200e-06,0,-2
-1.582800e-06,0,-2
-1.582400e-06,0,-2
-1.582000e-06,0,0
-1.581600e-06,0,0
-1.581200e-06,0,0
-1.580800e-06,0,-2
-1.580400e-06,0,0
-1.580000e-06,0,0
-1.579600e-06,0,0
-1.579200e-06,0,-2
-1.578800e-06,0,0
-1.578400e-06,0,-2
-1.578000e-06,0,0
-1.577600e-06,0,-2
-1.577200e-06,0,-2
-1.576800e-06,0,-2
-1.576400e-06,0,0
-1.576000e-06,0,0
-1.575600e-06,0,-2
-1.575200e-06,0,0
-1.574800e-06,0,-2
-1.574400e-06,0,0
-1.574000e-06,0,-2
-1.573600e-06,-0.2,-2
-1.573200e-06,0,-2
-1.572800e-06,0,0
-1.572400e-06,0,-2
-1.572000e-06,0,-2
-1.571600e-06,0,-2
-1.571200e-06,0.2,0
-1.570800e-06,0,-2
-1.570400e-06,0,0
-1.570000e-06,0,-2
-1.569600e-06,0,-2
-1.569200e-06,0,-2
-1.568800e-06,0,-2
-1.568400e-06,-0.2,-2
-1.568000e-06,0,-2
-1.567600e-06,0,0
-1.567200e-06,0,-2
-1.566800e-06,0,-2
-1.566400e-06,0,-2
-1.566000e-06,0,-2
-1.565600e-06,0,0
-1.565200e-06,0,0
-1.564800e-06,0,0
-1.564400e-06,0,0
-1.564000e-06,-0.2,-2
-1.563600e-06,-0.2,-2
-1.563200e-06,-0.2,0
-1.562800e-06,0.2,-2
-1.562400e-06,0,0
-1.562000e-06,0,-2
-1.561600e-06,0,0
-1.561200e-06,0,0
-1.560800e-06,0,-2
-1.560400e-06,0,0
-1.560000e-06,0,0
-1.559600e-06,0,-2
-1.559200e-06,0,-2
-1.558800e-06,0,0
-1.558400e-06,-0.2,-2
-1.558000e-06,0,0
-1.557600e-06,0,0
-1.557200e-06,0,0
-1.556800e-06,0,-2
-1.556400e-06,0,-2
-1.556000e-06,0,-2
-1.555600e-06,0,-2
-1.555200e-06,0,-2
-1.554800e-06,0,0
-1.554400e-06,0,-2
-1.554000e-06,0,0
-1.553600e-06,0,-2
-1.553200e-06,0,-2
-1.552800e-06,0,0
-1.552400e-06,0,0
-1.552000e-06,0,0
-1.551600e-06,0,-2
-1.551200e-06,0,0
-1.550800e-06,0,0
-1.550400e-06,0,0
-1.550000e-06,0,-2
-1.549600e-06,0,-2
-1.549200e-06,0,-2
-1.548800e-06,0,0
-1.548400e-06,0,-2
-1.548000e-06,0,0
-1.547600e-06,0,0
-1.547200e-06,0,-2
-1.546800e-06,0,0
-1.546400e-06,0,-2
-1.546000e-06,0,-2
-1.545600e-06,0,-2
-1.545200e-06,0,0
-1.544800e-06,0,-2
-1.544400e-06,0,0
-1.544000e-06,0,0
-1.543600e-06,0,0
-1.543200e-06,0,-2
-1.542800e-06,0,0
-1.542400e-06,0,-2
-1.542000e-06,0.2,-2
-1.541600e-06,0,0
-1.541200e-06,0,-2
-1.540800e-06,0,0
-1.540400e-06,-0.2,0
-1.540000e-06,0,0
-1.539600e-06,0,0
-1.539200e-06,0,-2
-1.538800e-06,0,-2
-1.538400e-06,0,0
-1.538000e-06,0,-2
-1.537600e-06,0,-2
-1.537200e-06,0,0
-1.536800e-06,0,-2
-1.536400e-06,0,-2
-1.536000e-06,0,-2
-1.535600e-06,0,-2
-1.535200e-06,0,-2
-1.534800e-06,0,-2
-1.534400e-06,0,-2
-1.534000e-06,0,0
-1.533600e-06,0,-2
-1.533200e-06,0,-2
-1.532800e-06,0,0
-1.532400e-06,0,-2
-1.532000e-06,0,0
-1.531600e-06,0,-2
-1.531200e-06,0,0
-1.530800e-06,0,-2
-1.530400e-06,0.2,0
-1.530000e-06,-0.2,-2
-1.529600e-06,-0.2,0
-1.529200e-06,0.2,0
-1.528800e-06,0,0
-1.528400e-06,0,0
-1.528000e-06,0,0
-1.527600e-06,0,0
